,Age,Embarked,Sex,Survived
725,27,S,male,1
726,20,S,male,0
727,30,S,female,1
728,,Q,female,1
729,25,S,male,0
730,25,S,female,0
731,29,S,female,1
732,11,C,male,0
733,,S,male,0
734,23,S,male,0
735,23,S,male,0
736,28.5,S,male,0
737,48,S,female,0
738,35,C,male,1
739,,S,male,0
740,,S,male,0
741,,S,male,1
742,36,S,male,0
743,21,C,female,1
744,24,S,male,0
745,31,S,male,1
746,70,S,male,0
747,16,S,male,0
748,30,S,female,1
749,19,S,male,0
750,31,Q,male,0
751,4,S,female,1
752,6,S,male,1
753,33,S,male,0
754,23,S,male,0
755,48,S,female,1
756,0.67,S,male,1
757,28,S,male,0
758,18,S,male,0
759,34,S,male,0
760,33,S,female,1
761,,S,male,0
762,41,S,male,0
763,20,C,male,1
764,36,S,female,1
765,16,S,male,0
766,51,S,female,1
767,,C,male,0
768,30.5,Q,female,0
769,,Q,male,0
770,32,S,male,0
771,24,S,male,0
772,48,S,male,0
773,57,S,female,0
774,,C,male,0
775,54,S,female,1
776,18,S,male,0
777,,Q,male,0
778,5,S,female,1
779,,Q,male,0
780,43,S,female,1
781,13,C,female,1
782,17,S,female,1
783,29,S,male,0
784,,S,male,0
785,25,S,male,0
786,25,S,male,0
787,18,S,female,1
788,8,Q,male,0
789,1,S,male,1
790,46,C,male,0
791,,Q,male,0
792,16,S,male,0
793,,S,female,0
794,,C,male,0
795,25,S,male,0
796,39,S,male,0
797,49,S,female,1
798,31,S,female,1
799,30,C,male,0
800,30,S,female,0
801,34,S,male,0
802,31,S,female,1
803,11,S,male,1
804,0.42,C,male,1
805,27,S,male,1
806,31,S,male,0
807,39,S,male,0
808,18,S,female,0
809,39,S,male,0
810,33,S,female,1
811,26,S,male,0
812,39,S,male,0
813,35,S,male,0
814,6,S,female,0
815,30.5,S,male,0
816,,S,male,0
817,23,S,female,0
818,31,C,male,0
819,43,S,male,0
820,10,S,male,0
821,52,S,female,1
822,27,S,male,1
823,38,S,male,0
824,27,S,female,1
825,2,S,male,0
826,,Q,male,0
827,,S,male,0
828,1,C,male,1
829,,Q,male,1
830,62,,female,1
831,15,C,female,1
832,0.83,S,male,1
833,,C,male,0
834,23,S,male,0
835,18,S,male,0
836,39,C,female,1
837,21,S,male,0
838,,S,male,0
839,32,S,male,1
840,,C,male,1
841,20,S,male,0
842,16,S,male,0
843,30,C,female,1
844,34.5,C,male,0
845,17,S,male,0
846,42,S,male,0
847,,S,male,0
848,35,C,male,0
849,28,S,male,0
850,,C,female,1
851,4,S,male,0
852,74,S,male,0
853,9,C,female,0
854,16,S,female,1
855,44,S,female,0
856,18,S,female,1
857,45,S,female,1
858,51,S,male,1
859,24,C,female,1
860,,C,male,0
861,41,S,male,0
862,21,S,male,0
863,48,S,female,1
864,,S,female,0
865,24,S,male,0
866,42,S,female,1
867,27,C,female,1
868,31,S,male,0
869,,S,male,0
870,4,S,male,1
871,26,S,male,0
872,47,S,female,1
873,33,S,male,0
874,47,S,male,0
875,28,C,female,1
876,15,C,female,1
877,20,S,male,0
878,19,S,male,0
879,,S,male,0
880,56,C,female,1
881,25,S,female,1
882,33,S,male,0
883,22,S,female,0
884,28,S,male,0
885,25,S,male,0
886,39,Q,female,0
887,27,S,male,0
888,19,S,female,1
889,,S,female,0
890,26,C,male,1
891,32,Q,male,0
